"filename", "language", "C++", "C", "Markdown", "Makefile", "comment", "blank", "total"
"/Users/vijaysatheesh/C Projects/Cnake/Makefile", "Makefile", 0, 0, 0, 10, 0, 4, 14
"/Users/vijaysatheesh/C Projects/Cnake/README.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"/Users/vijaysatheesh/C Projects/Cnake/docs/TODO.md", "Markdown", 0, 0, 16, 0, 0, 2, 18
"/Users/vijaysatheesh/C Projects/Cnake/lib/clk.h", "C++", 8, 0, 0, 0, 3, 3, 14
"/Users/vijaysatheesh/C Projects/Cnake/lib/defenitions.h", "C++", 6, 0, 0, 0, 0, 4, 10
"/Users/vijaysatheesh/C Projects/Cnake/lib/enableRaw.h", "C++", 24, 0, 0, 0, 0, 4, 28
"/Users/vijaysatheesh/C Projects/Cnake/lib/engine.c", "C", 0, 37, 0, 0, 0, 6, 43
"/Users/vijaysatheesh/C Projects/Cnake/lib/gameLogic.h", "C++", 157, 0, 0, 0, 6, 12, 175
"/Users/vijaysatheesh/C Projects/Cnake/lib/input.h", "C++", 16, 0, 0, 0, 0, 3, 19
"/Users/vijaysatheesh/C Projects/Cnake/lib/setupPlayGround.h", "C++", 42, 0, 0, 0, 0, 3, 45
"/Users/vijaysatheesh/C Projects/Cnake/src/main.c", "C", 0, 30, 0, 0, 2, 6, 38
"Total", "-", 253, 67, 16, 10, 11, 48, 405